"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Kuwait,"412,048",,"2,454 ",,"408,967",,627,12,"94,708",564,"4,440,173","1,020,560","4,350,723 ",Asia,11,"1,773",1,,,144
Ireland,"401,773",,"5,280 ",,"356,948",,"39,545",74,"80,229","1,054","7,616,896","1,521,000","5,007,822 ",Europe,12,948,1,,,"7,897"
Uruguay,"389,935",,"6,063 ",,"382,545",,"1,327",9,"111,760","1,738","3,650,312","1,046,225","3,489,031 ",South America,9,575,1,,,380
Venezuela,"382,266",,"4,606 ",,"362,006",,"15,654",681,"13,492",163,"3,359,014","118,553","28,333,471 ",South America,74,"6,151",8,,,552
Honduras,"369,030",,"9,949 ",,"111,930",,"247,151",350,"36,521",985,"1,055,246","104,433","10,104,489 ",North America,27,"1,016",10,,,"24,460"
Dominican Republic,"365,063",,"4,067 ",,"353,098",,"7,898",195,"33,230",370,"2,102,907","191,416","10,986,061 ",North America,30,"2,701",5,,,719
Denmark,"363,900",+544,"2,669 ",,"354,347",+335,"6,884",15,"62,546",459,"84,297,713","14,488,806","5,818,127 ",Europe,16,"2,180",0,94,,"1,183"
Ethiopia,"354,033",,"5,950 ",,"322,013",,"26,070",736,"2,986",50,"3,546,631","29,911","118,571,646 ",Africa,335,"19,928",33,,,220
Lithuania,"351,939","+1,805","5,231 ",+19,"316,751",+226,"29,957",213,"131,618","1,956","5,167,830","1,932,667","2,673,937 ",Europe,8,511,1,675,7,"11,203"
Libya,"346,176",+725,"4,775 ",+18,"270,140","+1,512","71,261",,"49,525",683,"1,710,768","244,749","6,989,892 ",Africa,20,"1,464",4,104,3,"10,195"
S. Korea,"331,519","+1,594","2,575 ",+15,"296,708","+1,779","32,236",377,"6,459",50,"14,951,658","291,312","51,325,281 ",Asia,155,"19,932",3,31,0.3,628
Mongolia,"325,390","+2,068","1,436 ",+17,"293,597",,"30,357",192,"97,269",429,"4,022,930","1,202,571","3,345,275 ",Asia,10,"2,330",1,618,5,"9,075"
Egypt,"311,576",,"17,658 ",,"262,654",,"31,264",90,"2,974",169,"3,693,367","35,248","104,782,296 ",Africa,336,"5,934",28,,,298
Moldova,"305,977",,"6,980 ",,"286,951",,"12,046",252,"76,075","1,735","1,857,626","461,862","4,022,040 ",Europe,13,576,2,,,"2,995"
Oman,"303,965",+50,"4,102 ",,"299,278",+97,585,10,"57,666",778,"25,000,000","4,742,787","5,271,162 ",Asia,17,"1,285",0,9,,111
Slovenia,"301,458",+489,"4,613 ",+6,"285,064",+440,"11,781",80,"144,980","2,219","1,620,669","779,430","2,079,301 ",Europe,7,451,1,235,3,"5,666"
Bahrain,"275,597",,"1,390 ",,"273,594",,613,4,"155,144",782,"6,580,669","3,704,516","1,776,391 ",Asia,6,"1,278",0,,,345
Armenia,"272,356","+1,151","5,549 ",+20,"248,267",+714,"18,540",,"91,694","1,868","1,805,317","607,793","2,970,284 ",Asia,11,535,2,388,7,"6,242"
Kenya,"251,057",,"5,181 ",,"243,772",,"2,104",48,"4,542",94,"2,602,818","47,090","55,272,683 ",Africa,220,"10,668",21,,,38
Bosnia and Herzegovina,"240,094",,"10,863 ",,"192,218",,"37,013",,"73,765","3,337","1,248,564","383,600","3,254,858 ",Europe,14,300,3,,,"11,372"
Qatar,"237,359",,607 ,,"235,758",,994,13,"84,535",216,"2,713,874","966,546","2,807,805 ",Asia,12,"4,626",1,,,354
Zambia,"209,336",,"3,653 ",,"205,417",,266,19,"10,997",192,"2,502,680","131,471","19,035,943 ",Africa,91,"5,211",8,,,14
Nigeria,"207,618",,"2,745 ",,"195,132",,"9,741",11,977,13,"3,090,114","14,534","212,613,046 ",Africa,"1,024","77,455",69,,,46
Algeria,"204,490",,"5,850 ",,"140,155",,"58,485",13,"4,559",130,"230,861","5,147","44,855,427 ",Africa,219,"7,668",194,,,"1,304"
North Macedonia,"194,575",,"6,817 ",,"180,791",,"6,967",,"93,399","3,272","1,319,879","633,563","2,083,265 ",Europe,11,306,2,,,"3,344"
Norway,"193,275",,871 ,,"88,952",,"103,452",13,"35,301",159,"7,938,975","1,450,017","5,475,092 ",Europe,28,"6,286",1,,,"18,895"
Botswana,"180,438",,"2,376 ",,"176,595",,"1,467",1,"74,814",985,"1,770,961","734,280","2,411,833 ",Africa,13,"1,015",1,,,608
Kyrgyzstan,"179,281",+95,"2,619 ",+1,"174,019",+66,"2,643",131,"26,916",393,"1,737,541","260,862","6,660,761 ",Asia,37,"2,543",4,14,0.2,397
Uzbekistan,"178,259",+425,"1,269 ",+3,"173,641",+475,"3,349",23,"5,230",37,"1,377,915","40,426","34,084,809 ",Asia,191,"26,860",25,12,0.09,98
Albania,"174,643",,"2,759 ",,"164,524",,"7,360",3,"60,771",960,"1,234,808","429,678","2,873,801 ",Europe,16,"1,042",2,,,"2,561"
Latvia,"171,276","+1,359","2,801 ",+7,"151,537",+809,"16,938",81,"92,101","1,506","4,551,762","2,447,634","1,859,658 ",Europe,11,664,0,731,4,"9,108"
Estonia,"164,618",+815,"1,394 ",,"149,454",+133,"13,770",29,"123,990","1,050","1,978,606","1,490,286","1,327,669 ",Europe,8,952,1,614,,"10,372"
Afghanistan,"155,508",+42,"7,225 ",+4,"126,242",+171,"22,041","1,124","3,884",180,"764,673","19,098","40,039,571 ",Asia,257,"5,542",52,1,0.10,550
Mozambique,"150,963",,"1,922 ",,"147,850",,"1,191",32,"4,664",59,"917,233","28,341","32,364,335 ",Africa,214,"16,839",35,,,37
Finland,"145,679",,"1,096 ",,"46,000",,"98,583",28,"26,241",197,"7,187,505","1,294,658","5,551,662 ",Europe,38,"5,065",1,,,"17,757"
Montenegro,"135,298",+288,"1,986 ",+3,"127,876",+374,"5,436",,"215,385","3,162","763,100","1,214,804","628,167 ",Europe,5,316,1,458,5,"8,654"
Zimbabwe,"131,762",,"4,636 ",,"125,027",,"2,099",12,"8,704",306,"1,433,930","94,727","15,137,515 ",Africa,115,"3,265",11,,,139
Ghana,"128,368",,"1,158 ",,"124,514",,"2,696",42,"4,025",36,"1,781,277","55,848","31,895,280 ",Africa,248,"27,543",18,,,85
Namibia,"128,070",,"3,524 ",,"123,459",,"1,087",11,"49,271","1,356","718,652","276,482","2,599,272 ",Africa,20,738,4,,,418
Australia,"127,470","+2,390","1,432 ",+11,"96,234",,"29,804",296,"4,926",55,"39,741,202","1,535,860","25,875,541 ",Australia/Oceania,203,"18,070",1,92,0.4,"1,152"
Uganda,"124,646",+102,"3,176 ",+2,"96,278",+26,"25,192",239,"2,620",67,"1,723,620","36,234","47,569,223 ",Africa,382,"14,978",28,2,0.04,530
Singapore,"124,157",,153 ,,"98,028",,"25,976",40,"21,012",26,"20,013,983","3,387,154","5,908,791 ",Asia,48,"38,620",0,,,"4,396"
Cyprus,"119,548",,558 ,,"90,755",,"28,235",20,"98,109",458,"9,420,908","7,731,403","1,218,525 ",Asia,10,"2,184",0,,,"23,171"
Cambodia,"114,810",+239,"2,506 ",+24,"107,857",+481,"4,447",,"6,749",147,"2,500,495","146,979","17,012,649 ",Asia,148,"6,789",7,14,1,261
El Salvador,"107,664",,"3,368 ",,"89,968",,"14,328",339,"16,493",516,"1,309,644","200,626","6,527,795 ",North America,61,"1,938",5,,,"2,195"
Rwanda,"98,599",,"1,304 ",,"45,498",,"51,797",2,"7,381",98,"2,925,569","218,996","13,359,020 ",Africa,135,"10,245",5,,,"3,877"
Cameroon,"95,399",,"1,517 ",,"80,433",,"13,449",152,"3,484",55,"1,751,774","63,973","27,383,080 ",Africa,287,"18,051",16,,,491
Jamaica,"85,905",,"1,995 ",,"54,094",,"29,816",33,"28,850",670,"614,262","206,295","2,977,593 ",North America,35,"1,493",5,,,"10,013"
Maldives,"85,465",,234 ,,"83,809",,"1,422",23,"154,654",423,"1,524,400","2,758,491","552,621 ",Asia,6,"2,362",0,,,"2,573"
Luxembourg,"79,018",,836 ,,"76,920",,"1,262",7,"123,678","1,309","3,539,227","5,539,572","638,899 ",Europe,8,764,0,,,"1,975"
Senegal,"73,835",,"1,868 ",,"71,921",,46,6,"4,267",108,"813,740","47,029","17,302,842 ",Africa,234,"9,263",21,,,3
Malawi,"61,672",,"2,288 ",,"56,421",,"2,963",67,"3,122",116,"414,403","20,976","19,756,162 ",Africa,320,"8,635",48,,,150
Angola,"61,245",,"1,618 ",,"49,515",,"10,112",27,"1,793",47,"1,042,250","30,511","34,160,274 ",Africa,558,"21,113",33,,,296
Ivory Coast,"60,785",,659 ,,"58,817",,"1,309",,"2,234",24,"1,042,339","38,313","27,205,898 ",Africa,448,"41,284",26,,,48
DRC,"57,126",,"1,086 ",,"30,858",,"25,182",,614,12,"306,299","3,293","93,008,098 ",Africa,"1,628","85,643",304,,,271
Réunion,"53,963",,369 ,,"53,256",,338,33,"59,731",408,"1,279,618","1,416,401","903,429 ",Africa,17,"2,448",1,,,374
Guadeloupe,"53,734",,721 ,,"2,250",,"50,763",23,"134,264","1,802","467,423","1,167,941","400,211 ",North America,7,555,1,,,"126,841"
Trinidad and Tobago,"52,480",,"1,540 ",,"46,640",,"4,300",22,"37,346","1,096","360,283","256,384","1,405,248 ",North America,27,912,4,,,"3,060"
Fiji,"51,499",+16,653 ,,"47,677",+62,"3,169",6,"56,924",722,"422,016","466,472","904,698 ",Australia/Oceania,18,"1,385",2,18,,"3,503"
Eswatini,"46,273",,"1,227 ",,"44,592",,454,10,"39,367","1,044","355,946","302,825","1,175,419 ",Africa,25,958,3,,,386
Suriname,"44,270",,960 ,,"27,003",,"16,307",20,"74,616","1,618","135,391","228,197","593,308 ",South America,13,618,4,,,"27,485"
Madagascar,"42,898",,958 ,,"41,322",,618,3,"1,500",34,"249,510","8,726","28,592,844 ",Africa,667,"29,846",115,,,22
French Guiana,"42,543",,286 ,,"9,995",,"32,262",24,"137,908",927,"407,249","1,320,141","308,489 ",South America,7,"1,079",1,,,"104,581"
Martinique,"41,129",,608 ,,104,,"40,417",1,"109,708","1,622","359,082","957,820","374,895 ",North America,9,617,1,,,"107,809"
French Polynesia,"40,178",,626 ,,"33,500",,"6,052",21,"141,986","2,212","26,355","93,137","282,971 ",Australia/Oceania,7,452,11,,,"21,387"
Sudan,"38,824",,"2,928 ",,"32,395",,"3,501",,860,65,"238,579","5,285","45,146,756 ",Africa,"1,163","15,419",189,,,78
Cabo Verde,"37,870",,346 ,,"37,036",,488,23,"67,186",614,"209,870","372,338","563,655 ",Africa,15,"1,629",3,,,866
Malta,"37,347",+24,459 ,,"36,211",+6,677,1,"84,298","1,036","1,211,456","2,734,429","443,038 ",Europe,12,965,0,54,,"1,528"
Syria,"36,713",,"2,332 ",,"24,435",,"9,946",,"2,035",129,"103,566","5,741","18,039,354 ",Asia,491,"7,736",174,,,551
Mauritania,"36,387",,784 ,,"35,129",,474,22,"7,574",163,"475,809","99,035","4,804,471 ",Africa,132,"6,128",10,,,99
Guyana,"33,566",,835 ,,"28,935",,"3,796",29,"42,415","1,055","331,225","418,544","791,375 ",South America,24,948,2,,,"4,797"
Gabon,"32,135",,201 ,,"27,333",,"4,601",24,"14,019",88,"1,245,868","543,504","2,292,289 ",Africa,71,"11,404",2,,,"2,007"
Guinea,"30,501",,383 ,,"29,069",,"1,049",24,"2,245",28,"560,520","41,263","13,583,961 ",Africa,445,"35,467",24,,,77
Laos,"28,540",+508,26 ,+2,"6,558",,"21,956",,"3,852",4,"524,190","70,745","7,409,549 ",Asia,260,"284,983",14,69,0.3,"2,963"
Tanzania,"25,957",,723 ,,N/A,N/A,N/A,7,419,12,,,"61,888,653 ",Africa,"2,384","85,600",,,,405
Togo,"25,760",,235 ,,"24,350",,"1,175",,"3,022",28,"525,523","61,648","8,524,619 ",Africa,331,"36,275",16,,,138
Benin,"24,335",,159 ,,"23,257",,919,5,"1,943",13,"604,310","48,247","12,525,435 ",Africa,515,"78,776",21,,,73
Papua New Guinea,"22,413",,245 ,,"19,017",,"3,151",7,"2,446",27,"194,839","21,266","9,161,967 ",Australia/Oceania,409,"37,396",47,,,344
Haiti,"22,382",,636 ,,"19,820",,"1,926",,"1,933",55,"120,507","10,407","11,579,002 ",North America,517,"18,206",96,,,166
Belize,"22,187",,427  ,,"19,182",,"2,578",10,"54,542","1,050","273,692","672,819","406,784 ",North America,18,953,1,,,"6,338"
Seychelles,"21,638",,118 ,,"21,242",,278,,"218,299","1,190","21,504","216,947","99,121 ",Africa,5,840,5,,,"2,805"
Bahamas,"21,580",,590 ,,"19,683",,"1,307",15,"54,219","1,482","149,289","375,083","398,016 ",North America,18,675,3,,,"3,284"
Lesotho,"21,455",,652 ,,"11,754",,"9,049",,"9,915",301,"221,548","102,387","2,163,822 ",Africa,101,"3,319",10,,,"4,182"
Somalia,"20,900",,"1,152 ",,"9,815",,"9,933",,"1,270",70,"234,593","14,257","16,454,739 ",Africa,787,"14,284",70,,,604
Mayotte,"20,385",,180 ,,"2,964",,"17,241",,"72,504",640,"176,919","629,256","281,156 ",Africa,14,"1,562",2,,,"61,322"
Timor-Leste,"19,673",+12,119 ,,"19,332",+37,222,,"14,569",88,"169,501","125,529","1,350,292 ",Asia,69,"11,347",8,9,,164
Burundi,"19,041",,38 ,,773,,"18,230",,"1,543",3,"345,742","28,020","12,339,118 ",Africa,648,"324,714",36,,,"1,477"
Tajikistan,"17,084",,124 ,,"16,960",,0,,"1,742",13,,,"9,809,174 ",Asia,574,"79,106",,,,
